 Transaction_date;Product;Price;Payment_Type
01/02/2009 04:53;Product1;1200;Visa
01/02/2009 13:08;Product1;1200;Mastercard
01/04/2009 12:56;Product2;3600;Visa
01/04/2009 13:19;Product1;1200;Visa
01/04/2009 20:11;Product1;1200;Mastercard
01/02/2009 20:09;Product1;1200;Mastercard
01/05/2009 02:42;Product1;1200;Diners
01/02/2009 09:16;Product1;1200;Mastercard
01/05/2009 10:08;Product1;1200;Visa
01/02/2009 14:18;Product1;1200;Visa
01/02/2009 07:35;Product1;1200;Diners
01/06/2009 07:18;Product1;1200;Visa
01/01/2009 02:24;Product1;1200;Visa
01/07/2009 08:08;Product1;1200;Diners
01/01/2009 20:21;Product1;1200;Visa
01/08/2009 00:42;Product1;1200;Visa
01/08/2009 03:56;Product1;1200;Mastercard
01/08/2009 03:16;Product1;1200;Mastercard
01/03/2009 09:03;Product1;1200;Diners
01/06/2009 07:46;Product1;1200;Amex
01/08/2009 16:24;Product1;1200;Visa
01/09/2009 06:39;Product1;1200;Mastercard
01/06/2009 22:19;Product2;3600;Amex
01/06/2009 23:00;Product2;3600;Amex
01/07/2009 07:44;Product1;1200;Mastercard
01/07/2009 15:12;Product2;3600;Visa
01/07/2009 20:15;Product1;1200;Amex
01/03/2009 10:11;Product2;3600;Visa
01/10/2009 12:57;Product1;1200;Amex
01/10/2009 12:05;Product1;1200;Visa
01/10/2009 14:56;Product1;1200;Visa
01/07/2009 10:01;Product1;1200;Visa
01/01/2009 01:26;Product1;1200;Mastercard
01/07/2009 06:18;Product1;1200;Mastercard
01/12/2009 03:25;Product1;1200;Mastercard
01/08/2009 15:16;Product1;1200;Visa
01/02/2009 22:00;Product1;1200;Diners
01/11/2009 13:08;Product1;1200;Visa
01/13/2009 06:13;Product1;1200;Visa
01/02/2009 11:41;Product1;1200;Visa
01/07/2009 19:50;Product1;1200;Diners
01/12/2009 03:03;Product2;3600;Mastercard
01/13/2009 11:26;Product1;1200;Visa
01/14/2009 04:54;Product1;1200;Mastercard
01/03/2009 13:56;Product1;1200;Visa
01/13/2009 23:56;Product1;1200;Mastercard
01/14/2009 19:32;Product1;1200;Visa
01/13/2009 19:39;Product1;1200;Visa
01/15/2009 02:40;Product1;1200;Mastercard
01/05/2009 15:39;Product1;1200;Visa
01/10/2009 05:21;Product1;1200;Amex
01/15/2009 04:12;Product1;1200;Mastercard
01/06/2009 10:48;Product1;1200;Mastercard
01/14/2009 09:10;Product1;1200;Mastercard
01/14/2009 22:44;Product1;1200;Visa
01/15/2009 12:33;Product1;1200;Visa
01/14/2009 11:35;Product1;1200;Visa
01/14/2009 15:40;Product1;1200;Amex
01/03/2009 11:08;Product1;1200;Amex
01/16/2009 07:21;Product1;2100;Mastercard
01/03/2009 09:56;Product1;1200;Visa
01/16/2009 17:41;Product1;1200;Visa
01/05/2009 05:33;Product1;1200;Visa
01/11/2009 08:59;Product1;1200;Visa
01/15/2009 15:56;Product1;1200;Amex
01/01/2009 12:19;Product1;1200;Visa
01/06/2009 14:03;Product1;1200;Visa
01/12/2009 12:37;Product1;1200;Visa
01/04/2009 07:43;Product1;1200;Mastercard
01/17/2009 16:22;Product1;1200;Visa
01/18/2009 05:27;Product1;1200;Visa
01/04/2009 17:02;Product1;1200;Mastercard
01/18/2009 02:16;Product1;1200;Visa
01/18/2009 11:53;Product1;1200;Visa
01/18/2009 12:04;Product1;1200;Visa
01/13/2009 19:54;Product1;1200;Diners
01/05/2009 21:06;Product1;1200;Mastercard
01/14/2009 06:32;Product1;1200;Visa
